experimento,tempo,consumo_cpu
5,19.5,92.8
5,20.0,85.7
5,20.5,66.6
5,21.0,151.0
5,21.5,200.0
5,22.0,114.0
5,22.5,150.0
5,23.0,107.0
5,23.5,110.0
5,24.0,96.2
5,24.5,77.7
5,25.0,118.0
5,25.5,167.0
5,26.0,235.0
5,26.5,151.0
5,27.0,128.0
5,27.5,167.0
5,28.0,188.0
5,28.5,92.5
5,29.0,117.0
5,29.5,135.0
5,30.0,62.9
6,0.5,232.0
6,1.0,162.0
6,1.5,118.0
6,2.0,185.0
6,2.5,110.0
6,3.0,88.8
6,3.5,92.8
6,4.0,82.1
6,4.5,118.0
6,5.0,159.0
6,5.5,217.0
6,6.0,128.0
6,6.5,118.0
6,7.0,222.0
6,7.5,153.0
6,8.0,118.0
6,8.5,100.0
6,9.0,118.0
6,9.5,71.4
6,10.0,189.0
6,10.5,96.2
6,11.0,170.0
6,11.5,178.0
6,12.0,92.8
6,12.5,107.0
6,13.0,96.4
6,13.5,71.4
6,14.0,100.0
6,14.5,162.0
6,15.0,196.0
6,15.5,81.4
6,16.0,148.0
6,16.5,140.0
6,17.0,137.0
6,17.5,129.0
6,18.0,88.8
6,18.5,129.0
6,19.0,88.8
6,19.5,235.0
6,20.0,125.0
6,20.5,185.0
6,21.0,132.0
6,21.5,157.0
6,22.0,107.0
6,22.5,122.0
6,23.0,96.4
6,23.5,107.0
6,24.0,70.3
6,24.5,188.0
6,25.0,125.0
6,25.5,114.0
6,26.0,111.0
6,26.5,137.0
6,27.0,118.0
6,27.5,88.8
6,28.0,114.0
6,28.5,111.0
6,29.0,135.0
6,29.5,168.0
6,30.0,122.0
7,0.5,159.0
7,1.0,117.0
7,1.5,122.0
7,2.0,100.0
7,2.5,82.1
7,3.0,78.5
7,3.5,92.5
7,4.0,155.0
7,4.5,125.0
7,5.0,135.0
7,5.5,214.0
7,6.0,151.0
7,6.5,128.0
7,7.0,81.4
7,7.5,150.0
7,8.0,85.1
7,8.5,192.0
7,9.0,114.0
7,9.5,188.0
7,10.0,117.0
7,10.5,103.0
7,11.0,100.0
7,11.5,107.0
7,12.0,75.0
7,12.5,96.2
7,13.0,66.6
7,13.5,162.0
7,14.0,140.0
7,14.5,96.4
7,15.0,188.0
7,15.5,178.0
7,16.0,92.8
7,16.5,96.2
7,17.0,88.8
7,17.5,122.0
7,18.0,217.0
7,18.5,171.0
7,19.0,77.7
7,19.5,228.0
7,20.0,133.0
7,20.5,125.0
7,21.0,103.0
7,21.5,96.4
7,22.0,150.0
7,22.5,88.8
7,23.0,225.0
7,23.5,114.0
7,24.0,192.0
7,24.5,167.0
7,25.0,67.8
7,25.5,144.0
7,26.0,96.2
7,26.5,74.0
7,27.0,92.8
7,27.5,117.0
7,28.0,177.0
7,28.5,129.0
7,29.0,181.0
7,29.5,140.0
7,30.0,167.0
8,0.5,85.7
8,1.0,85.1
8,1.5,114.0
8,2.0,88.8
8,2.5,246.0
8,3.0,128.0
8,3.5,118.0
8,4.0,200.0
8,4.5,125.0
8,5.0,157.0
8,5.5,125.0
8,6.0,82.1
8,6.5,78.5
8,7.0,74.0
8,7.5,237.0
8,8.0,121.0
8,8.5,121.0
8,9.0,174.0
8,9.5,114.0
8,10.0,92.8
8,10.5,96.2
8,11.0,103.0
8,11.5,107.0
8,12.0,100.0
8,12.5,140.0
8,13.0,157.0
8,13.5,125.0
8,14.0,110.0
8,14.5,100.0
8,15.0,107.0
8,15.5,96.2
8,16.0,88.8
8,16.5,100.0
8,17.0,175.0
8,17.5,177.0
8,18.0,85.7
8,18.5,132.0
8,19.0,125.0
8,19.5,140.0
8,20.0,81.4
8,20.5,100.0
8,21.0,103.0
8,21.5,196.0
8,22.0,210.0
8,22.5,111.0
8,23.0,188.0
8,23.5,159.0
8,24.0,96.2
8,24.5,133.0
8,25.0,107.0
8,25.5,81.4
8,26.0,77.7
8,26.5,207.0
8,27.0,160.0
8,27.5,132.0
8,28.0,174.0
8,28.5,167.0
8,29.0,118.0
8,29.5,85.1
8,30.0,89.2
9,0.5,107.0
9,1.0,192.0
9,1.5,153.0
9,2.0,88.8
9,2.5,240.0
9,3.0,132.0
9,3.5,125.0
9,4.0,114.0
9,4.5,100.0
9,5.0,100.0
9,5.5,74.0
9,6.0,171.0
9,6.5,144.0
9,7.0,155.0
9,7.5,217.0
9,8.0,103.0
9,8.5,122.0
9,9.0,82.1
9,9.5,81.4
9,10.0,81.4
9,10.5,185.0
9,11.0,137.0
9,11.5,100.0
9,12.0,129.0
9,12.5,174.0
9,13.0,132.0
9,13.5,100.0
9,14.0,110.0
9,14.5,77.7
9,15.0,70.3
9,15.5,140.0
9,16.0,148.0
9,16.5,159.0
9,17.0,182.0
9,17.5,103.0
9,18.0,162.0
9,18.5,81.4
9,19.0,82.1
9,19.5,85.1
9,20.0,164.0
9,20.5,164.0
9,21.0,155.0
9,21.5,159.0
9,22.0,174.0
9,22.5,196.0
9,23.0,133.0
9,23.5,96.2
9,24.0,114.0
9,24.5,82.1
9,25.0,207.0
9,25.5,207.0
9,26.0,107.0
9,26.5,151.0
9,27.0,92.5
9,27.5,100.0
9,28.0,96.2
9,28.5,100.0
9,29.0,111.0
9,29.5,203.0
9,30.0,228.0
10,0.5,111.0
10,1.0,214.0
10,1.5,174.0
10,2.0,114.0
10,2.5,114.0
10,3.0,89.2
10,3.5,77.7
10,4.0,85.1
10,4.5,244.0
10,5.0,135.0
10,5.5,127.0
10,6.0,188.0
10,6.5,111.0
10,7.0,96.4
10,7.5,89.2
10,8.0,100.0
10,8.5,89.2
10,9.0,225.0
10,9.5,159.0
10,10.0,125.0
10,10.5,207.0
10,11.0,110.0
10,11.5,103.0
10,12.0,107.0
10,12.5,92.8
10,13.0,71.4
10,13.5,85.1
10,14.0,233.0
10,14.5,107.0
10,15.0,114.0
10,15.5,200.0
10,16.0,148.0
10,16.5,129.0
10,17.0,88.8
10,17.5,88.8
10,18.0,103.0
10,18.5,146.0
10,19.0,192.0
10,19.5,140.0
10,20.0,144.0
10,20.5,170.0
10,21.0,155.0
10,21.5,118.0
10,22.0,96.4
10,22.5,92.8
10,23.0,85.1
10,23.5,214.0
10,24.0,144.0
10,24.5,160.0
10,25.0,153.0
10,25.5,125.0
10,26.0,118.0
10,26.5,100.0
10,27.0,88.8
10,27.5,81.4
10,28.0,166.0
10,28.5,139.0
10,29.0,151.0
10,29.5,159.0
10,30.0,214.0
11,0.5,155.0
11,1.0,118.0
11,1.5,96.2
11,2.0,125.0
11,2.5,70.3
11,3.0,225.0
11,3.5,133.0
11,4.0,148.0
11,4.5,242.0
11,5.0,111.0
11,5.5,133.0
11,6.0,110.0
11,6.5,85.7
11,7.0,92.5
11,7.5,160.0
11,8.0,244.0
11,8.5,150.0
11,9.0,117.0
11,9.5,203.0
11,10.0,171.0
11,10.5,89.2
11,11.0,92.5
11,11.5,140.0
11,12.0,132.0
11,12.5,200.0
11,13.0,167.0
11,13.5,162.0
11,14.0,200.0
11,14.5,178.0
11,15.0,107.0
11,15.5,133.0
11,16.0,92.8
11,16.5,85.7
11,17.0,96.2
11,17.5,146.0
11,18.0,85.7
11,18.5,88.8
11,19.0,174.0
11,19.5,142.0
11,20.0,92.5
11,20.5,103.0
11,21.0,146.0
11,21.5,74.0
11,22.0,164.0
11,22.5,129.0
11,23.0,142.0
11,23.5,232.0
11,24.0,117.0
11,24.5,114.0
11,25.0,103.0
11,25.5,71.4
11,26.0,107.0
11,26.5,182.0
11,27.0,118.0
11,27.5,174.0
11,28.0,142.0
11,28.5,155.0
11,29.0,207.0
11,29.5,96.2
11,30.0,100.0
12,0.5,132.0
12,1.0,82.1
12,1.5,189.0
12,2.0,185.0
12,2.5,162.0
12,3.0,146.0
12,3.5,111.0
12,4.0,96.2
12,4.5,96.4
12,5.0,85.7
12,5.5,92.5
12,6.0,192.0
12,6.5,175.0
12,7.0,128.0
12,7.5,166.0
12,8.0,200.0
12,8.5,121.0
12,9.0,96.2
12,9.5,107.0
12,10.0,96.2
12,10.5,25.0
12,11.0,181.0
12,11.5,200.0
12,12.0,110.0
12,12.5,193.0
12,13.0,88.8
12,13.5,160.0
12,14.0,85.7
12,14.5,81.4
12,15.0,100.0
12,15.5,160.0
12,16.0,271.0
12,16.5,81.4
12,17.0,88.8
12,17.5,188.0
12,18.0,182.0
12,18.5,122.0
12,19.0,107.0
12,19.5,162.0
12,20.0,82.1
12,20.5,235.0
12,21.0,148.0
12,21.5,155.0
12,22.0,175.0
12,22.5,92.5
12,23.0,111.0
12,23.5,96.4
12,24.0,78.5
12,24.5,103.0
12,25.0,100.0
12,25.5,225.0
12,26.0,89.2
12,26.5,144.0
12,27.0,192.0
12,27.5,118.0
12,28.0,71.4
12,28.5,85.1
12,29.0,135.0
12,29.5,96.2
12,30.0,262.0
13,0.5,133.0
13,1.0,185.0
13,1.5,177.0
13,2.0,96.2
13,2.5,100.0
13,3.0,100.0
13,3.5,75.0
13,4.0,96.4
13,4.5,100.0
13,5.0,162.0
13,5.5,137.0
13,6.0,128.0
13,6.5,148.0
13,7.0,196.0
13,7.5,129.0
13,8.0,81.4
13,8.5,144.0
13,9.0,125.0
13,9.5,228.0
13,10.0,107.0
13,10.5,171.0
13,11.0,125.0
13,11.5,146.0
13,12.0,110.0
13,12.5,114.0
