experimento,tempo,consumo_cpu
5,19.5,128.0
5,20.0,174.0
5,20.5,103.0
5,21.0,77.7
5,21.5,160.0
5,22.0,133.0
5,22.5,207.0
5,23.0,137.0
5,23.5,96.4
5,24.0,182.0
5,24.5,157.0
5,25.0,137.0
5,25.5,128.0
5,26.0,74.0
5,26.5,185.0
5,27.0,142.0
5,27.5,192.0
5,28.0,137.0
5,28.5,122.0
5,29.0,153.0
5,29.5,128.0
5,30.0,125.0
6,0.5,110.0
6,1.0,85.7
6,1.5,160.0
6,2.0,162.0
6,2.5,167.0
6,3.0,111.0
6,3.5,114.0
6,4.0,159.0
6,4.5,196.0
6,5.0,133.0
6,5.5,100.0
6,6.0,137.0
6,6.5,151.0
6,7.0,177.0
6,7.5,164.0
6,8.0,125.0
6,8.5,131.0
6,9.0,140.0
6,9.5,188.0
6,10.0,132.0
6,10.5,85.1
6,11.0,129.0
6,11.5,144.0
6,12.0,148.0
6,12.5,177.0
6,13.0,77.7
6,13.5,118.0
6,14.0,137.0
6,14.5,160.0
6,15.0,146.0
6,15.5,77.7
6,16.0,107.0
6,16.5,155.0
6,17.0,151.0
6,17.5,203.0
6,18.0,75.0
6,18.5,117.0
6,19.0,185.0
6,19.5,107.0
6,20.0,151.0
6,20.5,92.5
6,21.0,96.2
6,21.5,189.0
6,22.0,114.0
6,22.5,260.0
6,23.0,96.2
6,23.5,133.0
6,24.0,185.0
6,24.5,148.0
6,25.0,111.0
6,25.5,100.0
6,26.0,129.0
6,26.5,144.0
6,27.0,175.0
6,27.5,128.0
6,28.0,103.0
6,28.5,142.0
6,29.0,157.0
6,29.5,178.0
6,30.0,107.0
7,0.5,85.1
7,1.0,146.0
7,1.5,129.0
7,2.0,222.0
7,2.5,111.0
7,3.0,100.0
7,3.5,189.0
7,4.0,148.0
7,4.5,162.0
7,5.0,107.0
7,5.5,77.7
7,6.0,175.0
7,6.5,141.0
7,7.0,200.0
7,7.5,125.0
7,8.0,92.5
7,8.5,196.0
7,9.0,146.0
7,9.5,144.0
7,10.0,117.0
7,10.5,71.4
7,11.0,148.0
7,11.5,157.0
7,12.0,150.0
7,12.5,137.0
7,13.0,92.8
7,13.5,162.0
7,14.0,178.0
7,14.5,81.4
7,15.0,92.5
7,15.5,96.4
7,16.0,125.0
7,16.5,225.0
7,17.0,125.0
7,17.5,144.0
7,18.0,117.0
7,18.5,137.0
7,19.0,188.0
7,19.5,92.5
7,20.0,92.8
7,20.5,121.0
7,21.0,133.0
7,21.5,162.0
7,22.0,174.0
7,22.5,107.0
7,23.0,133.0
7,23.5,144.0
7,24.0,162.0
7,24.5,153.0
7,25.0,82.1
7,25.5,103.0
7,26.0,140.0
7,26.5,151.0
7,27.0,181.0
7,27.5,77.7
7,28.0,125.0
7,28.5,182.0
7,29.0,167.0
7,29.5,148.0
7,30.0,92.8
8,0.5,107.0
8,1.0,166.0
8,1.5,96.2
8,2.0,188.0
8,2.5,107.0
8,3.0,107.0
8,3.5,170.0
8,4.0,139.0
8,4.5,122.0
8,5.0,100.0
8,5.5,100.0
8,6.0,137.0
8,6.5,170.0
8,7.0,162.0
8,7.5,96.2
8,8.0,122.0
8,8.5,155.0
8,9.0,167.0
8,9.5,110.0
8,10.0,88.8
8,10.5,135.0
8,11.0,148.0
8,11.5,188.0
8,12.0,155.0
8,12.5,122.0
8,13.0,144.0
8,13.5,146.0
8,14.0,162.0
8,14.5,133.0
8,15.0,70.3
8,15.5,125.0
8,16.0,167.0
8,16.5,164.0
8,17.0,167.0
8,17.5,85.1
8,18.0,170.0
8,18.5,150.0
8,19.0,139.0
8,19.5,121.0
8,20.0,60.7
8,20.5,111.0
8,21.0,207.0
8,21.5,118.0
8,22.0,133.0
8,22.5,103.0
8,23.0,182.0
8,23.5,203.0
8,24.0,148.0
8,24.5,111.0
8,25.0,92.8
8,25.5,129.0
8,26.0,192.0
8,26.5,157.0
8,27.0,178.0
8,27.5,100.0
8,28.0,144.0
8,28.5,185.0
8,29.0,125.0
8,29.5,85.7
8,30.0,107.0
9,0.5,111.0
9,1.0,117.0
9,1.5,159.0
9,2.0,117.0
9,2.5,125.0
9,3.0,140.0
9,3.5,153.0
9,4.0,150.0
9,4.5,75.0
9,5.0,118.0
9,5.5,167.0
9,6.0,144.0
9,6.5,203.0
9,7.0,74.0
9,7.5,129.0
9,8.0,167.0
9,8.5,128.0
9,9.0,148.0
9,9.5,96.4
9,10.0,111.0
9,10.5,185.0
9,11.0,164.0
9,11.5,222.0
9,12.0,92.5
9,12.5,140.0
9,13.0,166.0
9,13.5,162.0
9,14.0,118.0
9,14.5,103.0
9,15.0,133.0
9,15.5,151.0
9,16.0,196.0
9,16.5,174.0
9,17.0,96.2
9,17.5,135.0
9,18.0,148.0
9,18.5,188.0
9,19.0,111.0
9,19.5,111.0
9,20.0,142.0
9,20.5,151.0
9,21.0,218.0
9,21.5,133.0
9,22.0,75.0
9,22.5,160.0
9,23.0,103.0
9,23.5,166.0
9,24.0,103.0
9,24.5,74.0
9,25.0,175.0
9,25.5,118.0
9,26.0,207.0
9,26.5,137.0
9,27.0,81.4
9,27.5,162.0
9,28.0,137.0
9,28.5,137.0
9,29.0,121.0
9,29.5,57.1
9,30.0,111.0
10,0.5,175.0
10,1.0,133.0
10,1.5,159.0
10,2.0,128.0
10,2.5,164.0
10,3.0,203.0
10,3.5,129.0
10,4.0,114.0
10,4.5,85.1
10,5.0,129.0
10,5.5,203.0
10,6.0,139.0
10,6.5,178.0
10,7.0,96.4
10,7.5,137.0
10,8.0,171.0
10,8.5,96.2
10,9.0,114.0
10,9.5,121.0
10,10.0,144.0
10,10.5,137.0
10,11.0,166.0
10,11.5,92.5
10,12.0,122.0
10,12.5,148.0
10,13.0,133.0
10,13.5,107.0
10,14.0,67.8
10,14.5,129.0
10,15.0,148.0
10,15.5,144.0
10,16.0,207.0
10,16.5,67.8
10,17.0,159.0
10,17.5,203.0
10,18.0,135.0
10,18.5,129.0
10,19.0,78.5
10,19.5,100.0
10,20.0,182.0
10,20.5,162.0
10,21.0,222.0
10,21.5,89.2
10,22.0,121.0
10,22.5,178.0
10,23.0,140.0
10,23.5,110.0
10,24.0,96.2
10,24.5,125.0
10,25.0,162.0
10,25.5,207.0
10,26.0,148.0
10,26.5,96.4
10,27.0,139.0
10,27.5,151.0
10,28.0,181.0
10,28.5,96.4
10,29.0,96.2
10,29.5,125.0
10,30.0,129.0
11,0.5,178.0
11,1.0,107.0
11,1.5,92.8
11,2.0,186.0
11,2.5,133.0
11,3.0,203.0
11,3.5,110.0
11,4.0,82.1
11,4.5,157.0
11,5.0,150.0
11,5.5,211.0
11,6.0,148.0
11,6.5,96.2
11,7.0,166.0
11,7.5,135.0
11,8.0,140.0
11,8.5,114.0
11,9.0,89.2
11,9.5,159.0
11,10.0,155.0
11,10.5,174.0
11,11.0,103.0
11,11.5,100.0
11,12.0,166.0
11,12.5,170.0
11,13.0,122.0
11,13.5,111.0
11,14.0,103.0
11,14.5,155.0
11,15.0,174.0
11,15.5,140.0
11,16.0,144.0
11,16.5,125.0
11,17.0,159.0
11,17.5,217.0
11,18.0,129.0
11,18.5,85.7
11,19.0,121.0
11,19.5,139.0
11,20.0,211.0
11,20.5,171.0
11,21.0,137.0
11,21.5,132.0
11,22.0,125.0
11,22.5,167.0
11,23.0,117.0
11,23.5,60.7
11,24.0,129.0
11,24.5,151.0
11,25.0,140.0
11,25.5,182.0
11,26.0,44.4
11,26.5,144.0
11,27.0,167.0
11,27.5,103.0
11,28.0,122.0
11,28.5,71.4
11,29.0,103.0
11,29.5,203.0
11,30.0,155.0
12,0.5,225.0
12,1.0,77.7
12,1.5,151.0
12,2.0,203.0
12,2.5,117.0
12,3.0,92.5
12,3.5,110.0
12,4.0,137.0
12,4.5,177.0
12,5.0,188.0
12,5.5,140.0
12,6.0,121.0
12,6.5,140.0
12,7.0,151.0
12,7.5,146.0
12,8.0,71.4
12,8.5,129.0
12,9.0,146.0
12,9.5,111.0
12,10.0,151.0
12,10.5,59.2
12,11.0,118.0
12,11.5,160.0
12,12.0,129.0
