experimento,tempo_render
1,57.77
2,60.33
3,57.41
4,64.02
5,56.78
6,54.43
7,54.89
8,56.99
9,56.02
10,56.42
11,56.57
12,59.27
13,57.28
14,59.02
15,56.7
16,57.21
17,57.03
18,56.22
19,56.83
20,59.12
21,54.46
22,55.48
23,63.85
24,56.51
25,54.71
26,57.05
27,55.52
28,55.83
29,56.91
30,57.57
