experimento,latencia_entrada
1,0.11
2,0.08
3,0.11
4,0.1
5,0.1
6,0.15
7,0.08
8,0.1
9,0.11
10,0.09
11,0.11
12,0.1
13,0.09
14,0.1
15,0.1
16,0.11
17,0.08
18,0.1
19,0.07
20,0.12
21,0.12
22,0.11
23,0.1
24,0.14
25,0.09
26,0.07
27,0.1
28,0.11
29,0.08
30,0.07
