experimento,janky_frames
1,3
2,4
3,4
4,4
5,2
6,4
7,2
8,3
9,3
10,3
11,0
12,2
13,5
14,5
15,4
16,4
17,3
18,5
19,7
20,3
21,6
22,4
23,1
24,4
25,0
26,3
27,3
28,5
29,6
30,5
